id,name,description,created_by,created_at,group_type
5d6a73c8-2755-4443-8e2b-bccff0a6c16b,Sarah's Care Group,,1f66fb72-ccfb-4a55-8738-716a12543421,2025-10-13 13:43:08.515249+00,care
7d645479-18ba-498e-9a00-094602679896,Emma's Care Group,,1f66fb72-ccfb-4a55-8738-716a12543421,2025-10-13 13:43:23.34723+00,care
