id,group_id,profile_id,role,joined_at,status
231def1f-dcda-435b-8687-ff8cf5ff5724,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,parent,2025-10-15 22:52:43.538667+00,active
484593da-e75c-40a0-b96d-596e81da8055,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,parent,2025-10-14 22:47:48.008816+00,active
4a85be0c-129c-47ea-a153-ec7621e8f10e,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,parent,2025-10-13 15:59:27.203298+00,active
4dd685e3-6daf-43b7-8e65-86be7e6df992,5d6a73c8-2755-4443-8e2b-bccff0a6c16b,1f66fb72-ccfb-4a55-8738-716a12543421,parent,2025-10-13 13:43:07.829+00,active
aa6c3f07-0872-4ff2-89a8-b76b029137f7,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,parent,2025-10-13 13:43:22.638+00,active
