id,request_id,responder_id,response_type,response_notes,status,created_at,updated_at,reciprocal_date,reciprocal_start_time,reciprocal_end_time,reciprocal_pet_id,invited_parent_id,accepted_parent_id,invited_pet_id,action_type,original_response_id,decline_action,counter_proposal_date,counter_proposal_start_time,counter_proposal_end_time,counter_proposal_notes,selected_cancellation_request_id,reciprocal_end_date
017f48e1-0f32-4337-b817-f0af9f654888,cba0aac4-277d-413e-8769-40e79c1c19d9,1ddffe94-817a-4fad-859e-df7adae45e31,pending,,pending,2025-11-17 16:51:12.598222+00,2025-11-17 16:51:12.598222+00,,,,,,,,,,,,,,,,
0bbcbfa6-104c-4817-8d18-e45030f762e6,890a2ec2-61ed-4ff4-91e8-38e858866959,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,,declined,2025-11-17 16:39:07.182095+00,2025-11-17 16:40:42.847843+00,,,,,,,,,,,,,,,,
37486201-1cac-4c92-a34e-9e2975ea04b2,890a2ec2-61ed-4ff4-91e8-38e858866959,1ddffe94-817a-4fad-859e-df7adae45e31,accepted,,accepted,2025-11-17 16:39:07.182095+00,2025-11-17 16:40:42.847843+00,2025-11-28,13:30:00,10:30:00,b8196fde-f21a-4bd0-9971-54b519f449d2,,,,,,,,,,,,2025-11-30
8a539ff3-7c4d-45f5-b546-a2726db0794d,cba0aac4-277d-413e-8769-40e79c1c19d9,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,,pending,2025-11-17 16:51:12.598222+00,2025-11-17 16:51:12.598222+00,,,,,,,,,,,,,,,,
d6c8c121-a71a-4fc6-bdd9-c407d8be4158,890a2ec2-61ed-4ff4-91e8-38e858866959,88416767-8bca-46c7-9dd3-f191a134b46b,pending,,declined,2025-11-17 16:39:07.182095+00,2025-11-17 16:40:42.847843+00,,,,,,,,,,,,,,,,
d827ae9e-dda3-4e43-be09-ab2ff85aa3db,cba0aac4-277d-413e-8769-40e79c1c19d9,88416767-8bca-46c7-9dd3-f191a134b46b,pending,,submitted,2025-11-17 16:51:12.598222+00,2025-11-17 16:52:08.12484+00,2025-12-05,13:50:00,15:00:00,3aad44f3-a07e-4846-9650-e93789d14bba,,,,,,,,,,,,2025-12-07
