id,parent_id,name,species,breed,age,birthdate,special_needs,notes,created_at,updated_at
3aad44f3-a07e-4846-9650-e93789d14bba,88416767-8bca-46c7-9dd3-f191a134b46b,Atticus,Cat,Long Hair,5,2020-11-01,,,2025-11-09 18:28:53.838253+00,2025-11-09 18:28:53.838253+00
772c5584-9e20-42ba-8040-45b35dd2047f,1f66fb72-ccfb-4a55-8738-716a12543421,Jackie,Dog,Mix,7,2018-10-20,,,2025-10-23 23:30:17.167023+00,2025-10-23 23:30:17.167023+00
b8196fde-f21a-4bd0-9971-54b519f449d2,1ddffe94-817a-4fad-859e-df7adae45e31,Pepper,Dog,Boxer,7,2018-11-08,,,2025-11-09 04:20:43.466192+00,2025-11-09 04:20:43.466192+00
cf49217b-4c1d-4d90-8f9e-677b8d941cdc,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Chloe,Dog,Shit-zu,0,2025-06-20,,,2025-10-23 23:31:37.574737+00,2025-10-23 23:31:37.574737+00
